name,folder,bytes,account_id,performance_id,fs,samp_len,ratio,birth_year,gender,device_os,headphones,city_id,locale,country,latitude,longitude,creation_timestamp,perf,negpeak,pospeak,intropow,restpow,clean,trash,nfiles,nclean,evalTrim_exists,countryNum,localeNum
100013538_14906339.wav,/usr/ccrma/media/projects/jordan/Datasets/DAMP-AG/audio/wav,1091721,100016048,100013538_14906339 ,22050,4214784,0.0203,NaN,N,iOS    ,NaN,NaN,en_US      ,US  ,36.48,-116.87,1376003994,100013538_14906339.wav,-0.5127,0.4019,3.4453,169.5494,PRETTYClean,NaN,7924,6501,1,104,83
100030930_13364402.wav,/usr/ccrma/media/projects/jordan/Datasets/DAMP-AG/audio/wav,1026865,100566054,100030930_13364402 ,22050,4215808,0.0015,NaN,N,iOS    ,NaN,NaN,en_US      ,US  ,36.55,-87.43,1374599880,100030930_13364402.wav,-0.0795,0.0642,0.0300,20.6359,PRETTYClean,NaN,5605,4608,1,104,83
100112831_13200625.wav,/usr/ccrma/media/projects/jordan/Datasets/DAMP-AG/audio/wav,1140521,100114662,100112831_13200625 ,22050,4214784,0.0006,NaN,N,iOS    ,NaN,NaN,en_US      ,US  ,38.26,-85.7,1374443958,100112831_13200625.wav,-0.5149,0.4533,0.5401,859.2183,PRETTYClean,NaN,11257,9217,1,104,83
100125241_14688700.wav,/usr/ccrma/media/projects/jordan/Datasets/DAMP-AG/audio/wav,1082271,100126255,100125241_14688700 ,22050,4215808,0.0255,NaN,N,iOS    ,NaN,NaN,en_US      ,US  ,34.16,-118.51,1375815803,100125241_14688700.wav,-0.5020,0.5639,38.8841,1526.8395,PRETTYClean,NaN,6218,5125,1,104,83
100157138_14224810.wav,/usr/ccrma/media/projects/jordan/Datasets/DAMP-AG/audio/wav,1048046,100154711,100157138_14224810 ,22050,4214784,0.0004,NaN,N,iOS    ,NaN,NaN,en_US      ,US  ,NaN,NaN,1375385619,100157138_14224810.wav,-0.0717,0.0788,0.0191,46.7240,PRETTYClean,NaN,1522,1255,1,104,83
100166773_13285611.wav,/usr/ccrma/media/projects/jordan/Datasets/DAMP-AG/audio/wav,1079812,10724075,100166773_13285611 ,22050,4214784,0.0001,1994,F,iOS    ,NaN,NaN,pt_BR      ,BR  ,NaN,NaN,1374525549,100166773_13285611.wav,-0.2359,0.2484,0.0211,232.7784,PRETTYClean,NaN,6473,5323,1,12,140
100174192_16147106.wav,/usr/ccrma/media/projects/jordan/Datasets/DAMP-AG/audio/wav,1134165,13641607,100174192_16147106 ,22050,4214528,0.0005,1993,F,iOS    ,NaN,NaN,en_US      ,US  ,NaN,NaN,1377305122,100174192_16147106.wav,-0.4801,0.6752,0.3038,662.7764,PRETTYClean,NaN,14791,12122,1,104,83
100208279_13260167.wav,/usr/ccrma/media/projects/jordan/Datasets/DAMP-AG/audio/wav,1029669,100209117,100208279_13260167 ,22050,4214784,0.0021,NaN,N,iOS    ,NaN,NaN,en_US      ,US  ,NaN,NaN,1374509059,100208279_13260167.wav,-0.1589,0.1523,0.3498,170.3244,PRETTYClean,NaN,16596,13607,1,104,83
100271428_13351682.wav,/usr/ccrma/media/projects/jordan/Datasets/DAMP-AG/audio/wav,1027263,100255160,100271428_13351682 ,22050,4215296,0.0006,NaN,N,iOS    ,NaN,NaN,en_GB      ,GB  ,51.67,-3.21,1374589424,100271428_13351682.wav,-0.2119,0.1948,0.0704,112.9080,PRETTYClean,NaN,2654,2188,1,37,37
100306441_76152768.wav,/usr/ccrma/media/projects/jordan/Datasets/DAMP-AG/audio/wav,1083497,100303862,100306441_76152768 ,22050,4152576,0,1992,F,iOS    ,1,NaN,en_US      ,US  ,41.85,-74.07,1415854605,100306441_76152768.wav,-0.5453,0.7025,0.0183,833.2541,PRETTYClean,NaN,7687,6311,1,104,83
100325926_38063436.wav,/usr/ccrma/media/projects/jordan/Datasets/DAMP-AG/audio/wav,1080923,100329363,100325926_38063436 ,22050,4214528,0.0004,1974,F,iOS    ,0,NaN,en_US      ,US  ,41.77,-91.68,1397337928,100325926_38063436.wav,-0.5978,0.6872,0.4844,1204.6658,PRETTYClean,NaN,10645,8704,1,104,83
100325926_38064048.wav,/usr/ccrma/media/projects/jordan/Datasets/DAMP-AG/audio/wav,1072622,100329363,100325926_38064048 ,22050,4214528,0,1974,F,iOS    ,1,NaN,en_US      ,US  ,41.77,-91.68,1397338230,100325926_38064048.wav,-0.6062,0.7931,0.0060,1204.1220,PRETTYClean,NaN,6033,4965,1,104,83
100337235_87899952.wav,/usr/ccrma/media/projects/jordan/Datasets/DAMP-AG/audio/wav,1055760,100336180,100337235_87899952 ,22050,4214784,0.0046,1991,F,iOS    ,1,NaN,en_US      ,US  ,38.92,-76.73,1419840401,100337235_87899952.wav,-0.1005,0.0890,0.0824,17.9483,PRETTYClean,NaN,4462,3669,1,104,83
100367568_16187718.wav,/usr/ccrma/media/projects/jordan/Datasets/DAMP-AG/audio/wav,1059167,100365738,100367568_16187718 ,22050,4214784,0,NaN,N,iOS    ,NaN,NaN,sv_SE      ,SE  ,59.62,17.81,1377362892,100367568_16187718.wav,-0.4279,0.3246,0.0209,540.6260,PRETTYClean,NaN,14155,11596,1,92,153
100374652_13378043.wav,/usr/ccrma/media/projects/jordan/Datasets/DAMP-AG/audio/wav,1123407,9965941,100374652_13378043 ,22050,4215808,0.0013,1939,F,iOS    ,NaN,NaN,en_CA      ,CA  ,NaN,NaN,1374609087,100374652_13378043.wav,-1.0000,0.9965,4.4006,3297.1385,PRETTYClean,NaN,16428,13472,1,14,25
100542876_13411788.wav,/usr/ccrma/media/projects/jordan/Datasets/DAMP-AG/audio/wav,1118361,2120496,100542876_13411788 ,22050,4215296,0.0003,1995,F,iOS    ,NaN,NaN,en_US      ,US  ,38.94,-104.72,1374631428,100542876_13411788.wav,-0.5734,0.8221,0.2975,1050.6200,PRETTYClean,NaN,16696,13690,1,104,83
