name,folder,bytes,account_id,performance_id,fs,samp_len,ratio,birth_year,gender,device_os,headphones,city_id,locale,country,latitude,longitude,creation_timestamp,perf,negpeak,pospeak,intropow,restpow,clean,trash,nfiles,nclean,evalTrim_exists,countryNum,localeNum
270342837_111924260.wav,/usr/ccrma/media/projects/jordan/Datasets/DAMP-AG/audio/wav,990253,270343806,270342837_111924260,22050,4215040,0.0001,1970,F,iOS    ,1,NaN,en_US      ,US  ,41.77,-91.68,1426873597,270342837_111924260.wav,-0.1868,0.2118,0.0231,156.8090,PRETTYClean,NaN,17193,14104,1,104,83
272575754_125580429.wav,/usr/ccrma/media/projects/jordan/Datasets/DAMP-AG/audio/wav,1115047,277055380,272575754_125580429,22050,4214784,0.0011,1980,F,iOS    ,1,NaN,en_US      ,US  ,41.77,-91.68,1431184660,272575754_125580429.wav,-0.3304,0.2952,0.3033,271.8158,PRETTYClean,NaN,8791,7197,1,104,83
166358579_31829246.wav,/usr/ccrma/media/projects/jordan/Datasets/DAMP-AG/audio/wav,1100090,166357949,166358579_31829246 ,22050,4215040,0.0116,NaN,N,iOS    ,1,NaN,en_US      ,US  ,40.12,-82.98,1392372379,166358579_31829246.wav,-0.5043,0.5126,3.2751,282.5588,PRETTYClean,NaN,15269,12523,1,104,83
238023415_208093672.wav,/usr/ccrma/media/projects/jordan/Datasets/DAMP-AG/audio/wav,1050652,195004647,238023415_208093672,22050,4215296,0,1984,F,iOS    ,1,4295251,en_US      ,US  ,36.86,-87.51,1447984887,238023415_208093672.wav,-0.9450,0.5394,0.0485,1035.5545,PRETTYClean,NaN,9165,7497,1,104,83
139864639_77619714.wav,/usr/ccrma/media/projects/jordan/Datasets/DAMP-AG/audio/wav,1065525,139862939,139864639_77619714 ,22050,4214912,0.003,1973,F,iOS    ,1,4695894,en_US      ,US  ,32.46,-94.62,1416345128,139864639_77619714.wav,-0.5150,0.3847,1.5331,517.7103,PRETTYClean,NaN,10156,8307,1,104,83
344911974_111799760.wav,/usr/ccrma/media/projects/jordan/Datasets/DAMP-AG/audio/wav,1049459,344913843,344911974_111799760,22050,4214656,0.0001,NaN,F,iOS    ,1,NaN,en_US      ,US  ,41.77,-91.68,1426822628,344911974_111799760.wav,-0.2801,0.2531,0.0153,243.9442,PRETTYClean,NaN,14551,11922,1,104,83
104888360_16079824.wav,/usr/ccrma/media/projects/jordan/Datasets/DAMP-AG/audio/wav,1104911,104889235,104888360_16079824 ,22050,4214528,0.0186,NaN,N,iOS    ,NaN,NaN,en_US      ,US  ,35.17,-88.6,1377219331,104888360_16079824.wav,-0.3616,0.4024,10.5950,570.7916,PRETTYClean,NaN,11725,9595,1,104,83
93789777_42478926.wav,/usr/ccrma/media/projects/jordan/Datasets/DAMP-AG/audio/wav,1070089,93801322,93789777_42478926  ,22050,4214528,0.0057,1965,F,iOS    ,0,NaN,en_US      ,US  ,39.63,-119.87,1400218987,93789777_42478926.wav,-0.2133,0.2193,1.7208,301.7806,PRETTYClean,NaN,9156,7489,1,104,83
213618629_48827291.wav,/usr/ccrma/media/projects/jordan/Datasets/DAMP-AG/audio/wav,1092918,213619623,213618629_48827291 ,22050,4214784,0.0002,1977,F,iOS    ,1,NaN,en_US      ,US  ,32.59,-96.31,1403327565,213618629_48827291.wav,-0.4732,0.7013,0.0486,283.2012,PRETTYClean,NaN,5388,4430,1,104,83
86039697_12583198.wav,/usr/ccrma/media/projects/jordan/Datasets/DAMP-AG/audio/wav,1108287,86037925,86039697_12583198  ,22050,4214784,0,1954,M,iOS    ,NaN,NaN,en_US      ,US  ,32.88,-97.4,1373872539,86039697_12583198.wav,-0.3277,0.2869,0.0172,390.9231,PRETTYClean,NaN,7291,5978,1,104,83
185756075_90606267.wav,/usr/ccrma/media/projects/jordan/Datasets/DAMP-AG/audio/wav,1085579,185750997,185756075_90606267 ,22050,4214400,0.0005,NaN,N,iOS    ,1,NaN,en_US      ,US  ,NaN,NaN,1420769612,185756075_90606267.wav,-0.4687,0.3192,0.2849,573.8407,PRETTYClean,NaN,5478,4503,1,104,83
92821254_12584055.wav,/usr/ccrma/media/projects/jordan/Datasets/DAMP-AG/audio/wav,1059953,92819376,92821254_12584055  ,22050,4214784,0.0012,NaN,N,iOS    ,NaN,NaN,en_US      ,US  ,NaN,NaN,1373873133,92821254_12584055.wav,-0.3896,0.3761,0.8940,747.6521,PRETTYClean,NaN,13223,10830,1,104,83
142609207_58412631.wav,/usr/ccrma/media/projects/jordan/Datasets/DAMP-AG/audio/wav,1103131,142608613,142609207_58412631 ,22050,4214400,0.0002,1960,M,iOS    ,1,4180531,en_US      ,US  ,33.4,-82.01,1407287820,142609207_58412631.wav,-0.9940,1.0000,0.4473,2292.6786,PRETTYClean,NaN,843,700,1,104,83
214890351_48556315.wav,/usr/ccrma/media/projects/jordan/Datasets/DAMP-AG/audio/wav,1093488,214889268,214890351_48556315 ,22050,4214784,0.0001,1997,F,iOS    ,1,NaN,en_US      ,US  ,41.77,-91.68,1403212065,214890351_48556315.wav,-0.2143,0.2659,0.0214,192.8262,PRETTYClean,NaN,10745,8790,1,104,83
121193261_71756503.wav,/usr/ccrma/media/projects/jordan/Datasets/DAMP-AG/audio/wav,1055605,657453,121193261_71756503 ,22050,4215040,0,1978,F,iOS    ,1,NaN,en_US      ,US  ,34.88,-82.33,1414276579,121193261_71756503.wav,-0.2911,0.2612,0.0099,259.7945,PRETTYClean,NaN,7596,6233,1,104,83
129647656_63351291.wav,/usr/ccrma/media/projects/jordan/Datasets/DAMP-AG/audio/wav,1088848,129653162,129647656_63351291 ,22050,4215040,0,NaN,N,iOS    ,1,NaN,en_US      ,US  ,41.77,-91.68,1409950651,129647656_63351291.wav,-0.3502,0.4753,0.0257,579.7937,PRETTYClean,NaN,659,543,1,104,83
118893469_56900917.wav,/usr/ccrma/media/projects/jordan/Datasets/DAMP-AG/audio/wav,1048706,118895356,118893469_56900917 ,22050,4215552,0.0001,1990,M,iOS    ,1,NaN,en_US      ,US  ,41.77,-91.68,1406591660,118893469_56900917.wav,-0.4274,0.2737,0.0489,355.0601,PRETTYClean,NaN,16351,13413,1,104,83
276553748_75311135.wav,/usr/ccrma/media/projects/jordan/Datasets/DAMP-AG/audio/wav,1117964,276555735,276553748_75311135 ,22050,4199424,0.019,NaN,N,iOS    ,1,NaN,en_US      ,US  ,41.77,-91.68,1415562383,276553748_75311135.wav,-0.5403,0.5736,8.0647,424.5667,PRETTYClean,NaN,8744,7158,1,104,83
62171201_3292647.wav,/usr/ccrma/media/projects/jordan/Datasets/DAMP-AG/audio/wav,1067240,60703773,62171201_3292647   ,22050,4215296,0.0013,NaN,N,iOS    ,NaN,NaN,en_US      ,US  ,NaN,NaN,1361929318,62171201_3292647.wav,-0.2236,0.2406,0.4919,371.4009,PRETTYClean,NaN,5380,4423,1,104,83
116173764_68081188.wav,/usr/ccrma/media/projects/jordan/Datasets/DAMP-AG/audio/wav,1117152,116177188,116173764_68081188 ,22050,4214912,0.0242,NaN,N,iOS    ,0,NaN,en_US      ,US  ,28.58,-81.33,1412528590,116173764_68081188.wav,-0.6205,0.8061,20.1304,833.1294,PRETTYClean,NaN,2129,1770,1,104,83
332614309_104980433.wav,/usr/ccrma/media/projects/jordan/Datasets/DAMP-AG/audio/wav,1128083,332613546,332614309_104980433,22050,4214528,0.0001,1977,M,iOS    ,1,NaN,en_US      ,US  ,41.77,-91.68,1424914386,332614309_104980433.wav,-0.7810,0.9541,0.2088,1812.3938,PRETTYClean,NaN,7726,6344,1,104,83
148787519_42430425.wav,/usr/ccrma/media/projects/jordan/Datasets/DAMP-AG/audio/wav,1068856,148784987,148787519_42430425 ,22050,4215040,0.0002,1994,F,iOS    ,1,NaN,en_US      ,US  ,41.77,-91.68,1400196203,148787519_42430425.wav,-1.0000,0.6210,0.2818,1247.6312,PRETTYClean,NaN,17203,14113,1,104,83
72307013_4202275.wav,/usr/ccrma/media/projects/jordan/Datasets/DAMP-AG/audio/wav,1070651,72307092,72307013_4202275   ,22050,4217344,0.0014,NaN,N,iOS    ,NaN,NaN,en_US      ,US  ,-3.99,122.51,1364271338,72307013_4202275.wav,-0.3543,0.2486,0.3070,225.0430,PRETTYClean,NaN,8081,6627,1,104,83
32290043_38495314.wav,/usr/ccrma/media/projects/jordan/Datasets/DAMP-AG/audio/wav,1087767,32285977,32290043_38495314  ,22050,4215808,0.0006,1995,F,iOS    ,1,NaN,en_US      ,US  ,32.5,-97.29,1397618267,32290043_38495314.wav,-0.4382,0.6293,0.4370,720.5502,PRETTYClean,NaN,4594,3779,1,104,83
61025113_3720672.wav,/usr/ccrma/media/projects/jordan/Datasets/DAMP-AG/audio/wav,1096904,55031252,61025113_3720672   ,22050,4215808,0.0025,1974,F,iOS    ,NaN,NaN,en_US      ,US  ,33.51,-82.23,1363312714,61025113_3720672.wav,-0.3154,0.3683,0.5986,239.7895,PRETTYClean,NaN,1566,1291,1,104,83
537802079_238005889.wav,/usr/ccrma/media/projects/jordan/Datasets/DAMP-AG/audio/wav,1037868,537792895,537802079_238005889,22050,4214528,0.0005,NaN,N,iOS    ,1,5780557,en_US      ,US  ,40.51,-111.97,1451527714,537802079_238005889.wav,-0.1323,0.1529,0.0245,47.2464,PRETTYClean,NaN,15674,12856,1,104,83
92762683_10534523.wav,/usr/ccrma/media/projects/jordan/Datasets/DAMP-AG/audio/wav,1042386,92766606,92762683_10534523  ,22050,4214784,0.0001,1987,M,iOS    ,NaN,NaN,en_US      ,US  ,28.02,-80.64,1372079916,92762683_10534523.wav,-0.7171,0.6187,0.1503,1801.7172,PRETTYClean,NaN,601,495,1,104,83
617717437_335249330.wav,/usr/ccrma/media/projects/jordan/Datasets/DAMP-AG/audio/wav,1001287,617725041,617717437_335249330,22050,4214912,0.0002,1991,M,iOS    ,1,4998830,en_US      ,US  ,42.73,-84.52,1459991029,617717437_335249330.wav,-0.3157,0.3097,0.1311,671.5688,PRETTYClean,NaN,6665,5487,1,104,83
631323582_331786337.wav,/usr/ccrma/media/projects/jordan/Datasets/DAMP-AG/audio/wav,1070508,626474406,631323582_331786337,22050,4214912,0.0001,1966,M,iOS    ,1,4896336,en_US      ,US  ,41.57,-87.91,1459721590,631323582_331786337.wav,-0.2890,0.3700,0.0202,266.0793,PRETTYClean,NaN,6724,5535,1,104,83
54896481_22244105.wav,/usr/ccrma/media/projects/jordan/Datasets/DAMP-AG/audio/wav,1106848,55477862,54896481_22244105  ,22050,4214784,0.0002,NaN,N,iOS    ,1,NaN,en_US      ,US  ,34.89,-88.44,1384308715,54896481_22244105.wav,-0.9678,1.0000,1.2296,7332.1216,PRETTYClean,NaN,16262,13338,1,104,83
243319528_166852103.wav,/usr/ccrma/media/projects/jordan/Datasets/DAMP-AG/audio/wav,1057357,237830983,243319528_166852103,22050,4215040,0.0006,1960,M,iOS    ,1,4869195,en_US      ,US  ,41.77,-91.68,1441517547,243319528_166852103.wav,-0.2239,0.2409,0.0642,103.0426,PRETTYClean,NaN,2075,1725,1,104,83
140893406_89515147.wav,/usr/ccrma/media/projects/jordan/Datasets/DAMP-AG/audio/wav,1030524,140895089,140893406_89515147 ,22050,4215040,0.0001,1992,F,iOS    ,1,NaN,en_US      ,US  ,NaN,NaN,1420341957,140893406_89515147.wav,-0.2924,0.1736,0.0212,257.6502,PRETTYClean,NaN,3607,2966,1,104,83
152033893_32167370.wav,/usr/ccrma/media/projects/jordan/Datasets/DAMP-AG/audio/wav,1106315,152035847,152033893_32167370 ,22050,4214528,0,NaN,N,iOS    ,1,NaN,en_US      ,US  ,61.14,-149.93,1392597742,152033893_32167370.wav,-0.8682,0.7570,0.0205,695.0352,PRETTYClean,NaN,1505,1239,1,104,83
200571726_155165789.wav,/usr/ccrma/media/projects/jordan/Datasets/DAMP-AG/audio/wav,1099374,199986920,200571726_155165789,22050,4214784,0.0053,1980,M,iOS    ,1,NaN,en_US      ,US  ,42.26,-71.66,1439261369,200571726_155165789.wav,-0.2751,0.2121,1.2529,235.1523,PRETTYClean,NaN,2112,1756,1,104,83
86936811_55094531.wav,/usr/ccrma/media/projects/jordan/Datasets/DAMP-AG/audio/wav,1030804,86935905,86936811_55094531  ,22050,4215040,0.0002,NaN,N,iOS    ,1,NaN,en_US      ,US  ,27.88,-82.49,1405788145,86936811_55094531.wav,-0.2090,0.2560,0.0419,178.5974,PRETTYClean,NaN,11979,9812,1,104,83
107019140_52810222.wav,/usr/ccrma/media/projects/jordan/Datasets/DAMP-AG/audio/wav,1078159,106593936,107019140_52810222 ,22050,4214912,0,1973,F,iOS    ,1,NaN,en_US      ,US  ,38.03,-122.26,1404866943,107019140_52810222.wav,-0.2381,0.2980,0.0032,185.7983,PRETTYClean,NaN,8844,7243,1,104,83
88788721_9283308.wav,/usr/ccrma/media/projects/jordan/Datasets/DAMP-AG/audio/wav,1085645,88785708,88788721_9283308   ,22050,4214784,0.0003,NaN,N,iOS    ,NaN,NaN,en_US      ,US  ,NaN,NaN,1370903762,88788721_9283308.wav,-1.0000,0.8793,1.0105,3208.4388,PRETTYClean,NaN,14934,12252,1,104,83
94691732_14122298.wav,/usr/ccrma/media/projects/jordan/Datasets/DAMP-AG/audio/wav,1099958,94695360,94691732_14122298  ,22050,4163584,0.0002,NaN,N,iOS    ,NaN,NaN,en_US      ,US  ,38.5,-81.55,1375297611,94691732_14122298.wav,-0.6897,0.8517,0.2301,1128.0814,PRETTYClean,NaN,14814,12144,1,104,83
118851568_63002938.wav,/usr/ccrma/media/projects/jordan/Datasets/DAMP-AG/audio/wav,1050211,118847992,118851568_63002938 ,22050,4214784,0.0004,1981,F,iOS    ,1,4354775,en_US      ,US  ,38.7,-75.77,1409707540,118851568_63002938.wav,-0.4010,0.2578,0.1655,399.3375,PRETTYClean,NaN,3580,2940,1,104,83
307610450_96638347.wav,/usr/ccrma/media/projects/jordan/Datasets/DAMP-AG/audio/wav,1042482,307610473,307610450_96638347 ,22050,4214912,0.0001,1957,F,iOS    ,1,NaN,en_US      ,US  ,41.77,-91.68,1422764893,307610450_96638347.wav,-0.8407,0.5349,0.0799,753.1384,PRETTYClean,NaN,6022,4957,1,104,83
93108229_10807308.wav,/usr/ccrma/media/projects/jordan/Datasets/DAMP-AG/audio/wav,1071681,93106288,93108229_10807308  ,22050,4215296,0.0002,NaN,N,iOS    ,NaN,NaN,en_US      ,US  ,41.71,-87.72,1372303422,93108229_10807308.wav,-0.4821,0.3784,0.1527,790.0497,PRETTYClean,NaN,5627,4624,1,104,83
540599359_243575291.wav,/usr/ccrma/media/projects/jordan/Datasets/DAMP-AG/audio/wav,1131210,540595819,540599359_243575291,22050,4215040,0.0326,NaN,N,iOS    ,0,4869195,en_US      ,US  ,41.77,-91.68,1452138466,540599359_243575291.wav,-0.6057,0.6728,40.1704,1231.9380,PRETTYClean,NaN,14053,11510,1,104,83
408905597_142057933.wav,/usr/ccrma/media/projects/jordan/Datasets/DAMP-AG/audio/wav,1045236,355519920,408905597_142057933,22050,4214528,0.0015,NaN,N,iOS    ,1,NaN,en_US      ,US  ,41.77,-91.68,1436131546,408905597_142057933.wav,-0.2324,0.1547,0.2042,132.2321,PRETTYClean,NaN,4846,3975,1,104,83
66772381_229956198.wav,/usr/ccrma/media/projects/jordan/Datasets/DAMP-AG/audio/wav,1114800,53872153,66772381_229956198 ,22050,4215040,0.0005,1995,F,iOS    ,0,4852640,en_US      ,US  ,41.69,-91.58,1450636683,66772381_229956198.wav,-0.9560,1.0000,3.0304,6176.4682,PRETTYClean,NaN,9355,7659,1,104,83
93130710_11729058.wav,/usr/ccrma/media/projects/jordan/Datasets/DAMP-AG/audio/wav,1089681,93128769,93130710_11729058  ,22050,4215296,0.0002,NaN,N,iOS    ,NaN,NaN,en_US      ,US  ,43.25,-93.66,1373139680,93130710_11729058.wav,-0.6118,0.6122,0.4605,2266.8978,PRETTYClean,NaN,4737,3890,1,104,83
177671071_56842139.wav,/usr/ccrma/media/projects/jordan/Datasets/DAMP-AG/audio/wav,1103179,177668969,177671071_56842139 ,22050,4215552,0.0017,NaN,N,iOS    ,1,NaN,en_US      ,US  ,41.77,-91.68,1406573523,177671071_56842139.wav,-0.5732,0.5323,0.8209,486.4344,PRETTYClean,NaN,7498,6144,1,104,83
456296808_174678144.wav,/usr/ccrma/media/projects/jordan/Datasets/DAMP-AG/audio/wav,1077564,455891891,456296808_174678144,22050,4215040,0.0003,NaN,N,iOS    ,1,4869195,en_US      ,US  ,41.77,-91.68,1442954641,456296808_174678144.wav,-0.4419,0.9875,0.1780,525.8125,PRETTYClean,NaN,8163,6688,1,104,83
134463693_23811948.wav,/usr/ccrma/media/projects/jordan/Datasets/DAMP-AG/audio/wav,1031857,134466389,134463693_23811948 ,22050,4214528,0.0001,1987,F,iOS    ,1,NaN,en_US      ,US  ,30.25,-89.78,1385969890,134463693_23811948.wav,-0.3435,0.5537,0.1128,824.6564,PRETTYClean,NaN,988,820,1,104,83
260113238_329407890.wav,/usr/ccrma/media/projects/jordan/Datasets/DAMP-AG/audio/wav,1066755,251540361,260113238_329407890,22050,4215296,0.0003,1999,M,iOS    ,1,5176266,en_US      ,US  ,41.24,-80.51,1459557751,260113238_329407890.wav,-0.1871,0.2196,0.0290,98.0769,PRETTYClean,NaN,10721,8770,1,104,83
332643872_106752147.wav,/usr/ccrma/media/projects/jordan/Datasets/DAMP-AG/audio/wav,1034745,332646291,332643872_106752147,22050,4215040,0,NaN,N,iOS    ,1,NaN,en_US      ,US  ,41.77,-91.68,1425419867,332643872_106752147.wav,-0.4819,0.4191,0.0045,436.0988,PRETTYClean,NaN,13183,10794,1,104,83
185500618_38045933.wav,/usr/ccrma/media/projects/jordan/Datasets/DAMP-AG/audio/wav,1104506,185499808,185500618_38045933 ,22050,4215296,0.0001,1977,M,iOS    ,1,NaN,en_US      ,US  ,45.12,-95.03,1397329188,185500618_38045933.wav,-0.1803,0.2127,0.0240,226.9613,PRETTYClean,NaN,7803,6402,1,104,83
437948953_163965298.wav,/usr/ccrma/media/projects/jordan/Datasets/DAMP-AG/audio/wav,1076396,437952196,437948953_163965298,22050,4214528,0.0003,NaN,N,iOS    ,1,5327684,en_US      ,US  ,37.87,-122.26,1440948354,437948953_163965298.wav,-0.1376,0.1789,0.0447,135.1313,PRETTYClean,NaN,1909,1579,1,104,83
188315775_43724276.wav,/usr/ccrma/media/projects/jordan/Datasets/DAMP-AG/audio/wav,1020736,28325550,188315775_43724276 ,22050,4215040,0.011,1970,F,iOS    ,1,NaN,en_US      ,US  ,41.77,-91.68,1400906382,188315775_43724276.wav,-0.0818,0.1440,0.7115,64.5533,PRETTYClean,NaN,16633,13635,1,104,83
104947846_112691244.wav,/usr/ccrma/media/projects/jordan/Datasets/DAMP-AG/audio/wav,1063115,104955552,104947846_112691244,22050,4214784,0.0007,NaN,N,iOS    ,1,NaN,en_US      ,US  ,41.77,-91.68,1427051110,104947846_112691244.wav,-0.2608,0.2035,0.1478,214.8982,PRETTYClean,NaN,15,14,1,104,83
